"","Source","Target","level_source","level_target","value"
"1","Context","Partner stressed/overwhelmed",2,1,1
"2","Context","Conflict (unspecified)",2,1,1
"3","Context","Tense climate at home",2,1,1
"4","Context","Conflict with separated partner",2,1,1
"5","Context","Bad news",2,1,1
"6","Context","Accident",2,1,1
"7","Context","Intrusive or painful memories",2,1,1
"8","Context","Medication for self",2,1,1
"9","Context","Symptoms/etc linked with pregnancy",2,1,1
"10","Context","Good weather",2,1,1
"11","Context","Bad weather",2,1,1
"12","Context","Therapy session (for self; family; or child)",2,1,1
"13","Context","Medical procedure/visit for child(ren)",2,1,1
"14","Context","Medical procedure/visit for self",2,1,1
"15","Context","Medical procedure/visit for partner",2,1,1
"16","Context","School/daycare [SETTING]",2,1,1
"17","Context","Work/school (self) [SETTING]",2,1,1
"18","Context","Missing/took off work/school [SETTING]",2,1,1
"19","Context","Time in nature/outside [SETTING]",2,1,1
"20","Context","Teleworking",2,1,1
"21","Context","Holiday (time off work) [SETTING]",2,1,1
"22","Context","Work/school (partner) [SETTING]",2,1,1
"23","Context","Home (explicit) [SETTING]",2,1,1
"24","Context","Home (implicit) [SETTING]",2,1,1
"25","Context","Transition time for child(ren)",2,1,1
"26","Context","Changing (parenting) principles",2,1,1
"27","Context","Transition time for self",2,1,1
"28","Context","Transition time for partner",2,1,1
"29","Context","Household rhythm shifting",2,1,1
"30","Context","Child(ren) sick",2,1,1
"31","Context","Self sick",2,1,1
"32","Context","Partner sick",2,1,1
"33","Context","Medical office/hospital [SETTING]",2,1,1
"34","Context","Psychological office [SETTING]",2,1,1
"35","Context","Stressed",2,1,1
"36","Context","Stress (from work/not immediate family)",2,1,1
"37","Context","Accumulation",2,1,1
"38","Context","Mental load",2,1,1
"39","Activity/event","Social activity/event (without children)",2,1,1
"40","Activity/event","Social activity/event (with children)",2,1,1
"41","Activity/event","Celebration",2,1,1
"42","Activity/event","Visitors at the house",2,1,1
"43","Activity/event","Physical activity",2,1,1
"44","Activity/event","Outing (social) [SETTING]",2,1,1
"45","Activity/event","Outing (errands) [SETTING]",2,1,1
"46","Activity/event","Social activity/event (unspecified re: children)",2,1,1
"47","Activity/event","Mealtime",2,1,1
"48","Movements (day)","Some children gone (whole day)",2,1,1
"49","Movements (day)","Partner gone",2,1,1
"50","Movements (day)","Traveling/on vacation with child(ren) [SETTING]",2,1,1
"51","Movements (day)","All children gone",2,1,1
"52","Movements (day)","Child(ren) taking part in activity without parent (camp etc)",2,1,1
"53","Movements (day)","Self gone (whole day)/no time with children",2,1,1
"54","Resources","Feeling isolated/alienated",2,1,1
"55","Resources","Lack of financial resources",2,1,1
